date,time,open,high,low,close,volume
2017-09-26,1506470400,0.5614,0.6438,0.5569,0.6314,6093032.08
2017-09-27,1506556800,0.6314,0.8237,0.6292,0.8085,11634404.43
2017-09-28,1506643200,0.8085,0.8435,0.6979,0.7146,8597897.39
2017-09-29,1506729600,0.7146,0.7585,0.7061,0.7274,4603840.56
2017-09-30,1506816000,0.7274,0.7285,0.6631,0.7085,3774630.91
2017-10-01,1506902400,0.7085,0.719,0.6331,0.6549,3348450.08
2017-10-02,1506988800,0.6549,0.669,0.6057,0.6308,2841163.42
2017-10-03,1507075200,0.6308,0.6347,0.5829,0.6008,2556541.61
2017-10-04,1507161600,0.6008,0.6214,0.5752,0.6054,3418564.64
2017-10-05,1507248000,0.6054,0.61,0.5862,0.6005,2401400.39
2017-10-06,1507334400,0.6005,0.6075,0.5712,0.5895,2213861.98
2017-10-07,1507420800,0.5895,0.6174,0.5754,0.606,3004729.56
2017-10-08,1507507200,0.606,0.6061,0.5248,0.558,3385306.22
2017-10-09,1507593600,0.558,0.5892,0.5474,0.552,3287961.06
2017-10-10,1507680000,0.552,0.6278,0.5468,0.6076,4345919.43
2017-10-11,1507766400,0.6076,0.642,0.5814,0.5947,4340594.62
2017-10-12,1507852800,0.5947,0.6169,0.5483,0.5872,4042813.81
2017-10-13,1507939200,0.5872,0.6185,0.5768,0.5836,3466288.99
2017-10-14,1508025600,0.5836,0.5918,0.5629,0.5738,2788497.74
2017-10-15,1508112000,0.574,0.5853,0.5593,0.5608,2371426.02
2017-10-16,1508198400,0.5612,0.5675,0.5374,0.5501,2552997.97
2017-10-17,1508284800,0.5519,0.5679,0.511,0.5432,3082220.69
2017-10-18,1508371200,0.5434,0.5946,0.5424,0.5663,3901100.2
2017-10-19,1508457600,0.5665,0.5888,0.5395,0.5395,2991733.32
2017-10-20,1508544000,0.5396,0.541,0.5122,0.5284,3480635.19
2017-10-21,1508630400,0.5282,0.5415,0.4979,0.5192,2365226.73
2017-10-22,1508716800,0.5189,0.5239,0.4793,0.4924,3006265.54
2017-10-23,1508803200,0.4925,0.5512,0.4776,0.5176,3087091.81
